Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,01/20/2026 16:00,01/20/2026 16:23,XAUUSD,Buy,0.250,0.00000,0.00000,4739.77000,4744.40000,463.0,0.52,"",0,00:00:22:30,,,,,,,,,,,,
,01/16/2026 15:20,01/16/2026 15:36,XAUUSD,Sell,0.250,0.00000,0.00000,4586.84000,4598.42000,-1158.0,-1.30,"",0,00:00:15:36,,,,,,,,,,,,
,01/14/2026 17:00,01/14/2026 17:04,XAUUSD,Sell,0.250,0.00000,0.00000,4610.19000,4605.20000,499.0,0.56,"",0,00:00:04:05,,,,,,,,,,,,
,01/13/2026 15:46,01/13/2026 16:47,XAUUSD,Buy,0.250,0.00000,0.00000,4620.93000,4631.71000,1078.0,1.23,"",0,00:01:01:09,,,,,,,,,,,,
,01/12/2026 15:24,01/12/2026 15:51,XAUUSD,Buy,0.250,0.00000,0.00000,4611.27000,4617.55000,628.0,0.72,"",0,00:00:27:32,,,,,,,,,,,,
,01/09/2026 16:10,01/09/2026 16:24,XAUUSD,Buy,0.150,0.00000,0.00000,4492.13000,4494.86000,273.0,0.19,"",0,00:00:13:16,,,,,,,,,,,,
,01/09/2026 14:00,01/09/2026 14:05,XAUUSD,Buy,0.150,0.00000,0.00000,4477.41000,4478.99000,158.0,0.11,"",0,00:00:04:53,,,,,,,,,,,,
,01/08/2026 15:25,01/08/2026 15:54,XAUUSD,Buy,0.150,0.00000,0.00000,4434.39000,4425.00000,-939.0,-0.64,"",0,00:00:29:55,,,,,,,,,,,,
,01/07/2026 15:06,01/07/2026 15:09,XAUUSD,Sell,0.150,0.00000,0.00000,4439.36000,4430.01000,935.0,0.64,"",0,00:00:03:04,,,,,,,,,,,,
,01/06/2026 16:15,01/06/2026 16:36,XAUUSD,Buy,0.150,0.00000,0.00000,4473.24000,4482.17000,893.0,0.62,"",0,00:00:21:28,,,,,,,,,,,,
,01/02/2026 16:31,01/02/2026 16:32,XAUUSD,Sell,0.100,0.00000,0.00000,4361.27000,4361.29000,-2.0,0.00,"",0,00:00:01:40,,,,,,,,,,,,
,01/02/2026 15:24,01/02/2026 15:29,XAUUSD,Sell,0.150,0.00000,0.00000,4383.91000,4374.09000,982.0,0.68,"",0,00:00:05:34,,,,,,,,,,,,
,01/02/2026 12:40,01/02/2026 12:47,XAUUSD,Buy,0.250,0.00000,0.00000,4394.97000,4396.18000,121.0,0.14,"",0,00:00:06:12,,,,,,,,,,,,
,12/30/2025 16:38,12/30/2025 16:41,XAUUSD,Sell,0.150,0.00000,0.00000,4374.43000,4369.13000,530.0,0.37,"",0,00:00:02:30,,,,,,,,,,,,
,12/29/2025 16:01,12/29/2025 16:03,XAUUSD,Sell,0.150,0.00000,0.00000,4405.90000,4403.81000,209.0,0.15,"",0,00:00:02:26,,,,,,,,,,,,
,12/29/2025 10:51,12/29/2025 10:53,XAUUSD,Sell,0.350,0.00000,0.00000,4457.39000,4456.06000,133.0,0.22,"",0,00:00:02:15,,,,,,,,,,,,
,12/22/2025 21:15,12/22/2025 21:52,XAUUSD,Sell,0.350,0.00000,0.00000,4428.96000,4433.00000,-404.0,-0.66,"",0,00:00:37:00,,,,,,,,,,,,
,12/22/2025 17:39,12/22/2025 17:57,XAUUSD,Buy,0.150,0.00000,0.00000,4427.34000,4433.75000,641.0,0.45,"",0,00:00:18:31,,,,,,,,,,,,
,12/19/2025 11:44,12/19/2025 11:45,XAUUSD,Buy,0.350,0.00000,0.00000,4330.74000,4333.27000,253.0,0.42,"",0,00:00:00:30,,,,,,,,,,,,
,12/17/2025 16:45,12/17/2025 17:03,XAUUSD,Buy,0.100,0.00000,0.00000,4339.93000,4340.69000,76.0,0.04,"",0,00:00:18:40,,,,,,,,,,,,
,12/17/2025 09:13,12/17/2025 09:17,XAUUSD,Sell,0.350,0.00000,0.00000,4322.66000,4321.53000,113.0,0.19,"",0,00:00:04:36,,,,,,,,,,,,
,12/16/2025 10:20,12/16/2025 10:43,XAUUSD,Sell,0.350,0.00000,0.00000,4277.63000,4283.35000,-572.0,-0.93,"",0,00:00:23:45,,,,,,,,,,,,
,12/15/2025 13:00,12/15/2025 13:08,XAUUSD,Sell,0.350,0.00000,0.00000,4337.45000,4335.70000,175.0,0.29,"",0,00:00:07:27,,,,,,,,,,,,
,12/10/2025 21:00,12/12/2025 15:53,EURUSD,Buy,0.200,0.00000,0.00000,1.16661,1.17270,60.9,0.54,"",0,01:18:52:36,100.0,1d 18h ,29.0,0.01,89.7,,0.0,,100.0,67.9,-28.80,
,12/12/2025 15:33,12/12/2025 15:45,XAUUSD,Buy,0.150,0.00000,0.00000,4345.87000,4339.20000,-667.0,-0.47,"",0,00:00:11:32,,,,,,,,,,,,
,12/10/2025 16:07,12/10/2025 16:08,XAUUSD,Buy,0.150,0.00000,0.00000,4203.88000,4205.34000,146.0,0.10,"",0,00:00:00:38,,,,,,,,,,,,
,12/10/2025 15:50,12/10/2025 15:56,XAUUSD,Buy,0.150,0.00000,0.00000,4203.11000,4203.21000,10.0,0.01,"",0,00:00:05:45,,,,,,,,,,,,
