Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
09/09/2021 03:56,09/09/2021 06:13,EURCHF,Buy,0.010,1.08591,1.09231,1.08911,1.08781,-0.0700,0.0000,-13.0,-1.48,-1.23,7199174,00:02:17:04,1.5,2m,13.3,43.48,0.3,0.033,-13.0,-1.43,2.3,0.0,-13.30,-1.46
09/09/2021 03:55,09/09/2021 06:07,GBPCHF,Buy,0.010,1.26544,1.27184,1.26864,1.26710,-0.0700,0.0000,-15.4,-1.75,-1.43,7199174,00:02:12:26,0.0,0s,15.6,15.60,0.0,0.0,-15.6,-1.716,0.0,1.3,-15.40,-1.69
09/08/2021 03:59,09/08/2021 06:22,EURUSD,Sell,0.010,1.18800,1.18160,1.18480,1.18419,-0.0700,0.0000,6.1,0.54,0.44,7199174,00:02:23:18,86.8,2h 4m,5.5,0.46,6.3,0.63,-2.9,-0.29,68.5,97.8,-0.20,-0.02
09/07/2021 03:56,09/07/2021 07:30,EURCHF,Buy,0.010,1.08282,1.08922,1.08602,1.08592,-0.0700,0.0000,-1.0,-0.18,-0.15,7199174,00:03:34:25,3.8,8m,6.7,4.59,1.2,0.132,-5.5,-0.605,17.9,67.2,-2.20,-0.24
09/03/2021 03:57,09/03/2021 07:35,EURUSD,Sell,0.010,1.19149,1.18509,1.18829,1.18769,-0.0700,0.0000,6.0,0.53,0.44,7199174,00:03:38:12,93.6,3h 24m,6.4,0.20,6.0,0.6000000000000001,-1.2,-0.12,83.3,100.0,0.00,0.00
09/02/2021 03:55,09/02/2021 06:28,GBPCAD,Sell,0.010,1.74356,1.73716,1.74036,1.73990,-0.0700,0.0000,4.6,0.29,0.24,7199174,00:02:33:00,97.4,2h 29m,11.3,0.17,9.7,0.7759999999999999,-1.6,-0.128,85.8,54.9,-5.10,-0.41
09/01/2021 03:54,09/01/2021 09:58,EURUSD,Buy,0.010,1.17694,1.18334,1.18014,1.18075,-0.0700,0.0000,6.1,0.54,0.45,7199174,00:06:04:07,54.2,3h 17m,12.6,1.23,6.1,0.61,-7.5,-0.75,44.9,100.0,0.00,0.00
09/01/2021 03:55,09/01/2021 07:04,EURGBP,Sell,0.010,0.86233,0.85593,0.85913,0.85923,-0.0700,0.0000,-1.0,-0.21,-0.17,7199174,00:03:09:12,15.3,28m,3.8,2.17,1.2,0.168,-2.6,-0.36400000000000005,31.6,42.1,-2.20,-0.31
08/31/2021 03:55,08/31/2021 07:30,EURGBP,Sell,0.010,0.86076,0.85436,0.85756,0.85770,-0.0700,0.0000,-1.4,-0.26,-0.21,7199174,00:03:35:39,37.3,1h 20m,7.8,1.36,3.3,0.462,-4.5,-0.6300000000000001,42.3,39.7,-4.70,-0.66
08/31/2021 03:59,08/31/2021 07:17,EURUSD,Sell,0.010,1.18348,1.17708,1.18028,1.18209,-0.0700,0.0000,-18.1,-1.88,-1.53,7199174,00:03:18:42,13.2,26m,24.0,3.71,5.1,0.51,-18.9,-1.89,21.3,3.3,-23.20,-2.32
08/27/2021 03:55,08/27/2021 05:02,USDCAD,Sell,0.010,1.27397,1.26757,1.27077,1.26942,-0.0700,0.0000,13.5,0.99,0.81,7199174,00:01:07:55,100.0,1h 7m,8.0,0.07,13.7,1.0959999999999999,0.0,0.0,100.0,98.5,-0.20,-0.02
08/26/2021 03:54,08/26/2021 07:31,EURUSD,Buy,0.010,1.17348,1.17988,1.17668,1.17652,-0.0700,0.0000,-1.6,-0.23,-0.19,7199174,00:03:37:05,0.0,0s,5.5,5.50,0.0,0.0,-5.5,-0.55,0.0,70.9,-1.60,-0.16
08/26/2021 03:55,08/26/2021 04:35,EURGBP,Buy,0.010,0.85185,0.85825,0.85505,0.85535,-0.0700,0.0000,3.0,0.34,0.28,7199174,00:00:40:14,100.0,40m,1.3,0.33,3.0,0.42000000000000004,0.0,0.0,100.0,100.0,0.00,0.00
08/25/2021 03:54,08/25/2021 07:02,EURUSD,Buy,0.010,1.17088,1.17728,1.17408,1.17397,-0.0700,0.0000,-1.1,-0.18,-0.15,7199174,00:03:08:31,2.7,5m,7.8,8.76,0.8,0.08000000000000002,-7.0,-0.7000000000000001,10.3,75.6,-1.90,-0.19
