Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
03/10/2026 00:42,04/30/2026 17:10,EURCHF,Sell,0.010,0.92701,0.00000,0.90387,0.91583,-0.0500,-6.5300,-119.6,-21.85,-0.47,"",0,51:16:28:01,9.4,4d 20h ,230.8,14.01,15.4,2.0020000000000002,-215.4,-28.002000000000002,6.7,41.5,-135.00,-17.55
03/19/2026 11:45,04/30/2026 17:10,EURCHF,Sell,0.010,0.92701,0.00000,0.91153,0.91581,-0.0500,-5.1700,-42.8,-10.68,-0.23,"",0,42:05:24:31,2.2,22h 17m,168.1,6.86,21.4,2.782,-146.7,-19.070999999999998,12.7,61.8,-64.20,-8.35
03/24/2026 16:52,04/30/2026 17:10,EURCHF,Sell,0.010,0.92701,0.00000,0.91651,0.91580,-0.0500,-4.8100,7.1,-3.96,-0.08,"",0,37:00:17:51,7.5,2d 18h ,116.4,4.97,19.5,2.535,-96.9,-12.597000000000001,16.8,89.3,-12.40,-1.61
03/27/2026 17:16,04/30/2026 17:10,EURCHF,Sell,0.020,0.92701,0.00000,0.91968,0.91583,-0.0900,-8.4700,38.5,1.27,0.03,"",0,33:23:53:50,24.9,8d 11h ,105.8,1.61,40.6,10.556000000000001,-65.2,-16.952,38.4,98.0,-2.10,-0.55
03/31/2026 16:48,04/30/2026 17:10,EURCHF,Sell,0.040,0.92701,0.00000,0.92166,0.91582,-0.1800,-15.9100,58.4,13.73,0.29,"",0,30:00:22:05,59.0,17d 17h ,85.8,0.78,58.4,29.784,-45.4,-23.154,56.3,100.0,0.00,0.00
03/31/2026 17:53,04/30/2026 17:10,EURCHF,Sell,0.100,0.92701,0.00000,0.92376,0.91582,-0.4600,-39.7600,79.4,61.14,1.33,"",0,29:23:16:54,82.0,24d 13h ,85.8,0.31,79.4,101.632,-24.4,-31.232,76.5,100.0,0.00,0.00
03/31/2026 17:31,04/30/2026 17:10,EURCHF,Sell,0.070,0.92701,0.00000,0.92289,0.91582,-0.3200,-27.8400,70.7,35.01,0.77,"",0,29:23:38:35,72.3,21d 16h ,85.8,0.47,70.7,62.923,-33.1,-29.459000000000003,68.1,100.0,0.00,0.00
03/31/2026 17:57,04/30/2026 17:10,EURCHF,Sell,0.150,0.92701,0.00000,0.92440,0.91584,-0.6900,-59.6300,85.6,103.58,2.32,"",0,29:23:13:08,88.0,26d 8h ,85.8,0.21,85.6,163.49599999999998,-18.0,-34.379999999999995,82.6,100.0,0.00,0.00
03/31/2026 17:57,04/30/2026 17:10,EURCHF,Sell,0.220,0.92701,0.00000,0.92500,0.91591,-1.0100,-87.4600,90.9,166.78,3.89,"",0,29:23:12:36,90.3,27d 1h ,85.8,0.13,90.9,255.42900000000003,-12.0,-33.72,88.3,100.0,0.00,0.00
03/31/2026 17:58,04/30/2026 17:10,EURCHF,Sell,0.350,0.92701,0.00000,0.92566,0.91589,-1.6100,-139.1800,97.7,295.66,7.40,"",0,29:23:12:14,99.5,29d 19h ,85.8,0.06,97.7,436.719,-5.4,-24.138,94.8,100.0,0.00,0.00
04/28/2026 14:40,04/30/2026 15:50,EURGBP,Sell,0.010,0.91453,0.00000,0.86765,0.86536,-0.0500,0.0800,22.9,3.12,0.08,"",0,02:01:10:37,100.0,2d 1h ,15.2,0.04,23.9,3.1069999999999998,0.0,0.0,100.0,95.8,-1.00,-0.13
