Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
03/25/2026 15:05,03/25/2026 15:23,XAUUSD,Buy,0.010,4555.11000,0.00000,4575.38000,4555.09000,-2029.0,-0.91,7864234,00:00:17:42,0.0,0s,2029.0,2500.00,0.0,,-2029.0,,0.0,0.0,-2029.00,
03/23/2026 16:28,03/23/2026 17:03,XAUUSD,Buy,0.010,0.00000,4476.10000,4414.59000,4476.05000,6146.0,2.84,7864234,00:00:34:11,14.3,4m,3895.0,0.63,6146.0,,-3895.0,,61.2,100.0,0.00,
03/17/2026 07:46,03/20/2026 12:54,EURGBP,Sell,0.070,0.86300,0.00000,0.86375,0.86300,7.5,0.34,7864234,03:05:07:49,52.3,1d 16h ,27.2,0.52,22.2,,-11.5,,65.9,56.4,-14.70,
03/19/2026 08:14,03/19/2026 09:17,XAUUSD,Buy,0.010,4826.31000,0.00000,4851.19000,4826.24000,-2495.0,-1.15,7864234,00:01:02:28,0.0,0s,2495.0,2500.00,0.0,,-2495.0,,0.0,0.0,-2495.00,
03/18/2026 14:35,03/18/2026 14:47,XAUUSD,Buy,0.010,4932.89000,0.00000,4954.00000,4932.84000,-2116.0,-0.96,7864234,00:00:11:38,0.0,0s,9499.0,10000.00,0.0,,-9499.0,,0.0,77.7,-2116.00,
03/16/2026 17:50,03/16/2026 18:29,XAUUSD,Buy,0.010,4987.00000,0.00000,4996.71000,4985.38000,-1133.0,-0.51,0,00:00:38:25,56.5,21m,2247.0,1.02,1114.0,,-1133.0,,49.6,0.0,-2247.00,
03/13/2026 16:56,03/13/2026 17:17,XAUUSD,Buy,0.010,5084.54000,0.00000,5104.27000,5084.14000,-2013.0,-0.90,7864234,00:00:21:17,0.0,0s,5964.0,10000.00,0.0,,-5964.0,,0.0,66.2,-2013.00,
03/12/2026 18:34,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,0,00:00:00:00,,,,,,,,,,,,
03/12/2026 15:45,03/12/2026 16:23,XAUUSD,Buy,0.010,5161.23000,0.00000,5175.58000,5160.48000,-1510.0,-1.21,7864234,00:00:37:19,0.0,0s,1510.0,1666.67,0.0,,-1510.0,,0.0,0.0,-1510.00,
03/12/2026 14:41,03/12/2026 16:23,XAUUSD,Buy,0.010,5162.00000,0.00000,5178.54000,5161.04000,-1750.0,-1.39,7864234,00:01:41:48,0.0,0s,1750.0,2000.00,0.0,,-1750.0,,0.0,0.0,-1750.00,
03/12/2026 15:15,03/12/2026 15:40,XAUUSD,Buy,0.010,5168.65000,0.00000,5167.65000,5168.56000,91.0,0.07,7864234,00:00:25:16,4.0,1m,0.0,0.01,91.0,,0.0,,100.0,100.0,0.00,
03/12/2026 14:40,03/12/2026 15:05,XAUUSD,Buy,0.020,5171.60000,0.00000,5179.50000,5171.51000,-799.0,-1.25,7864234,00:00:25:17,0.0,0s,799.0,833.33,0.0,,-799.0,,0.0,0.0,-799.00,
03/12/2026 12:45,03/12/2026 14:20,XAUUSD,Buy,0.010,5172.81000,0.00000,5184.99000,5172.77000,-1222.0,-0.95,7864234,00:01:35:05,0.0,0s,3724.0,5000.00,0.0,,-3724.0,,0.0,67.2,-1222.00,
03/11/2026 09:06,03/12/2026 00:07,EURGBP,Buy,0.030,0.86215,0.00000,0.86520,0.86212,-30.8,-1.03,7864234,00:15:01:41,0.0,0s,31.0,31.06,0.0,,-31.0,,0.0,0.6,-30.80,
03/11/2026 17:20,03/11/2026 18:34,XAUUSD,Sell,0.010,0.00000,0.00000,5187.48000,5168.09000,1939.0,1.50,0,00:01:14:24,100.0,1h 14m,1864.0,0.00,2855.0,,0.0,,100.0,67.9,-916.00,
03/11/2026 16:39,03/11/2026 16:51,XAUUSD,Buy,0.010,5151.34000,0.00000,5171.71000,5150.24000,-2147.0,-1.64,7864234,00:00:12:04,,,,,,,,,,,,
03/11/2026 12:58,03/11/2026 15:59,XAUUSD,Buy,0.010,5167.89000,0.00000,5188.87000,5167.17000,-2170.0,-1.63,7864234,00:03:00:51,8.4,15m,2875.0,5.26,547.0,,-2875.0,,16.0,20.6,-2717.00,
03/11/2026 15:25,03/11/2026 15:54,NZDUSD,Buy,0.050,0.59101,0.00000,0.59210,0.59101,-10.9,-0.43,0,00:00:29:07,0.0,0s,10.9,10.91,0.0,,-10.9,,0.0,0.0,-10.90,
03/11/2026 15:39,03/11/2026 15:47,XAUUSD,Buy,0.010,5172.80000,0.00000,5177.08000,5172.73000,-435.0,-0.33,0,00:00:07:28,,,,,,,,,,,,
03/11/2026 09:27,03/11/2026 10:35,XAUUSD,Buy,0.010,5190.00000,0.00000,5204.81000,5189.84000,-1497.0,-1.11,7864234,00:01:08:17,0.0,0s,2320.0,2500.00,0.0,,-2320.0,,0.0,35.5,-1497.00,
03/10/2026 16:46,03/10/2026 17:07,XAUUSD,Buy,0.010,5189.88000,0.00000,5202.32000,5189.50000,-1282.0,-0.94,7864234,00:00:21:48,95.5,20m,4261.0,0.43,2979.0,,-1282.0,,69.9,0.0,-4261.00,
03/10/2026 16:30,03/10/2026 16:46,XAUUSD,Buy,0.010,5197.99000,0.00000,5218.11000,5198.05000,-2006.0,-1.45,7864234,00:00:16:22,93.8,15m,3544.0,1.30,1538.0,,-2006.0,,43.4,0.0,-3544.00,
