Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
03/14/2025 16:45,03/14/2025 16:51,BTCUSD,Sell,0.040,83292.96000,83791.88000,0.0000,0.0000,-498.9,-18.35,-0.57,"Master EA|BTCUSD|15m|Engulfing[sl 83792.30]",8,00:00:06:23,,,,,,,,,,,,
03/13/2025 20:07,03/14/2025 03:50,BTCUSD,Sell,0.010,80579.26000,81606.48000,0.0000,0.0000,-1027.2,-9.46,-0.30,"Master EA|BTCUSD|15m|High-Low B[sl 81606.70]",5,00:07:43:41,,,,,,,,,,,,
03/13/2025 20:07,03/14/2025 01:56,BTCUSD,Sell,0.040,80579.12000,81342.16000,0.0000,0.0000,-763.0,-28.12,-0.87,"Master EA|BTCUSD|1h|High-Low Br[sl 81341.91]",6,00:05:49:50,,,,,,,,,,,,
03/13/2025 19:47,03/13/2025 22:02,US500,Sell,1.300,5527.80000,5553.30000,0.0000,0.0000,-102.0,-30.54,-0.94,"Master EA|US500|1h|High-Low Bre[sl 5553.06]",12,00:02:15:05,,,,,,,,,,,,
03/13/2025 19:47,03/13/2025 20:19,US500,Sell,1.200,5528.00000,5510.80000,0.0000,0.0000,68.8,19.01,0.59,"Master EA|US500|30m|High-Low Br[tp 5510.80]",11,00:00:32:22,,,,,,,,,,,,
03/13/2025 18:00,03/13/2025 19:43,XAUUSD,Buy,0.020,2970.21000,2983.20000,-0.1400,0.0000,1299.0,23.75,0.74,"Master EA|XAUUSD|1h|Engulfing[tp 2983.18]",3,00:01:43:00,,,,,,,,,,,,
03/13/2025 18:35,03/13/2025 18:41,US500,Sell,1.700,5544.80000,5533.30000,0.0000,0.0000,46.0,18.01,0.56,"Master EA|US500|30m|High-Low Br[tp 5532.84]",11,00:00:05:46,,,,,,,,,,,,
03/12/2025 19:08,03/13/2025 17:36,XAUUSD,Buy,0.040,2930.44000,2956.20000,-0.2600,-4.6100,2576.0,90.04,2.89,"Master EA|XAUUSD|1h|High-Low Br[tp 2956.22]",1,00:22:28:24,,,,,,,,,,,,
03/12/2025 18:02,03/12/2025 18:49,BTCUSD,Sell,0.020,81246.50000,82012.76000,0.0000,0.0000,-766.3,-14.05,-0.45,"Master EA|BTCUSD|15m|High-Low B[sl 81980.97]",5,00:00:47:14,,,,,,,,,,,,
03/12/2025 11:59,03/12/2025 12:38,XAUUSD,Buy,0.040,2922.23000,2917.60000,-0.2600,0.0000,-463.0,-17.21,-0.55,"Master EA|XAUUSD|15m|High-Low B[sl 2917.61]",0,00:00:38:57,,,,,,,,,,,,
