Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/13/2025 09:20,01/13/2026 09:30,GBPCHF,Buy,1.09730,1.07433,-0.4700,160.1500,-229.7,-41.89,-0.04,214:00:09:35,4.7,10d 1h ,569.9,17.70,30.5,26.84,-539.4,-474.67199999999997,5.4,54.3,-260.20,-228.98
11/20/2025 09:22,01/13/2026 09:30,EURUSD,Sell,1.15223,1.16613,-1.0400,25.5600,-139.0,-225.68,-0.22,54:00:07:18,6.2,3d 8h ,292.6,14.01,19.5,35.1,-273.1,-491.58000000000004,6.7,45.8,-158.50,-285.30
07/15/2025 08:58,01/13/2026 09:30,CADCHF,Buy,0.58180,0.57473,-1.0600,135.4100,-70.7,-122.67,-0.12,182:00:31:26,23.7,43d 3h ,245.3,2.79,64.8,235.87199999999999,-180.5,-657.02,26.4,44.8,-135.50,-493.22
06/11/2025 17:02,01/12/2026 09:12,CADCHF,Buy,0.60030,0.57411,-0.8000,123.7700,-261.9,-599.83,-0.59,214:16:10:34,0.0,0s,365.5,370.37,0.0,0.0,-365.5,-1008.78,0.0,28.3,-261.90,-722.84
11/17/2025 11:43,11/27/2025 01:45,EURUSD,Sell,1.16012,1.16014,-1.0400,6.9100,-0.2,5.51,0.01,09:14:01:52,98.9,9d 11h ,106.4,0.05,105.4,189.72000000000003,-5.6,-10.08,95.0,4.9,-105.60,-190.08
09/17/2025 08:54,11/17/2025 11:34,USDMXN,Sell,18.29200,18.31370,-0.4000,13.8800,-217.0,4.01,0.00,61:02:40:08,5.2,3d 4h ,4521.4,7.01,564.6,22.584,-3956.8,-158.27200000000002,12.5,82.7,-781.60,-31.26
07/08/2025 09:00,10/10/2025 23:53,USDMXN,Sell,18.61380,18.62110,-0.4000,24.5900,-73.0,21.05,0.02,94:14:52:34,46.5,43d 23h ,4399.4,0.91,3782.6,151.304,-3436.8,-137.472,52.4,46.6,-3855.60,-154.22
06/16/2025 09:22,08/01/2025 11:10,USDMXN,Sell,18.91940,18.91940,-0.4000,11.0200,0.0,10.59,0.01,46:01:47:13,79.5,36d 15h ,4399.4,0.86,4018.6,0.0,-3465.2,-0.0,53.7,46.3,-4018.60,0.00
06/11/2025 16:57,06/16/2025 09:21,USDMXN,Sell,18.97230,18.92530,-0.7500,2.5100,470.0,39.00,0.04,04:16:24:11,87.2,4d 2h ,2690.4,0.91,1406.7,112.536,-1283.7,-102.69600000000001,52.3,65.2,-936.70,-74.94
05/23/2025 15:48,06/13/2025 09:18,EURNOK,Sell,11.51200,11.50750,-0.6200,5.2000,45.0,9.58,0.01,20:17:29:50,40.9,8d 11h ,1527.9,1.54,602.2,66.242,-925.7,-101.82700000000001,39.4,63.5,-557.20,-61.29
05/29/2025 09:21,06/11/2025 16:50,GBPJPY,Buy,196.06200,196.03400,-0.8700,15.7300,-2.8,12.35,0.01,13:07:28:24,1.6,5h 6m,319.6,9.03,35.4,31.86,-319.6,-287.64000000000004,10.0,89.2,-38.20,-34.38
05/13/2025 09:19,05/29/2025 09:18,GBPJPY,Buy,195.16600,196.07100,-0.3300,9.6300,90.5,40.32,0.04,15:23:58:56,10.6,1d 16h ,433.5,2.64,119.0,40.46,-314.5,-106.93,27.5,93.4,-28.50,-9.69
05/07/2025 09:07,05/23/2025 15:45,EURNOK,Sell,11.67990,11.50160,-0.2300,1.5000,1783.0,71.62,0.07,16:06:38:15,87.8,14d 6h ,1211.8,0.27,2119.9,84.796,-573.3,-22.932,78.7,87.5,-336.90,-13.48
