Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,04/11/2025 01:18,04/11/2025 08:25,XAUUSD,Buy,4.520,0.00000,0.00000,3202.02000,3221.69000,0.0000,0.0000,1967.0,8891.75,0.98,"XAU ZC-01 HL 5",6548,00:07:07:28,84.8,6h 2m,3110.0,0.54,2472.0,11173.439999999999,-1326.0,-5993.5199999999995,65.1,86.7,-505.00,-2282.60
,04/11/2025 08:21,04/11/2025 08:25,XAUUSD,Buy,3.390,0.00000,0.00000,3221.55000,3221.71000,0.0000,0.0000,16.0,55.94,0.01,"XAU ZC-01 HL 4",6547,00:00:04:04,100.0,4m,503.0,0.00,519.0,1816.5,0.0,0.0,100.0,3.1,-503.00,-1760.50
,04/11/2025 00:35,04/11/2025 00:44,XAUUSD,Buy,3.330,0.00000,0.00000,3202.46000,3212.10000,0.0000,0.0000,964.0,3210.78,0.36,"XAU ZC-01 HL 5",6548,00:00:09:10,100.0,9m,132.0,0.00,1096.0,3649.6800000000003,0.0,0.0,100.0,88.0,-132.00,-439.56
,04/10/2025 22:33,04/11/2025 00:44,XAUUSD,Buy,4.440,0.00000,0.00000,3183.32000,3211.92000,0.0000,0.0000,2860.0,12697.06,1.43,"XAU ZC-01 HL 10",6553,00:02:10:30,99.3,2h 9m,648.0,0.01,3010.0,13364.400000000001,-40.0,-177.60000000000002,98.7,95.1,-150.00,-666.00
,04/10/2025 22:33,04/10/2025 22:33,XAUUSD,Buy,3.300,0.00000,0.00000,3187.67000,3183.25000,0.0000,0.0000,-442.0,-1456.29,-0.16,"XAU ZC-01 HL 10",6553,00:00:00:32,,,,,,,,,,,,
,04/10/2025 15:15,04/10/2025 22:33,XAUUSD,Buy,4.400,0.00000,0.00000,3162.96000,3183.28000,0.0000,0.0000,2032.0,8940.36,1.02,"XAU ZC-01 HL 9",6552,00:07:18:36,74.5,5h 26m,2207.0,0.52,2032.0,8940.800000000001,-1053.0,-4633.200000000001,65.9,100.0,0.00,0.00
,04/10/2025 14:15,04/10/2025 14:47,XAUUSD,Buy,3.260,0.00000,0.00000,3143.51000,3146.91000,0.0000,0.0000,340.0,1107.74,0.13,"XAU ZC-01 HL 8",6551,00:00:32:47,96.9,31m,605.0,0.05,836.0,2725.3599999999997,-40.0,-130.39999999999998,95.4,43.4,-496.00,-1616.96
,04/10/2025 12:20,04/10/2025 14:47,XAUUSD,Buy,4.350,0.00000,0.00000,3123.92000,3147.08000,0.0000,0.0000,2316.0,10074.16,1.16,"XAU ZC-01 HL 7",6550,00:02:27:31,78.3,1h 55m,1800.0,0.25,2795.0,12158.249999999998,-687.0,-2988.45,80.3,86.2,-479.00,-2083.65
,04/10/2025 08:36,04/10/2025 12:20,XAUUSD,Buy,4.310,0.00000,0.00000,3106.07000,3123.35000,0.0000,0.0000,1728.0,7449.83,0.86,"XAU ZC-01 HL 2",6545,00:03:44:12,95.6,3h 34m,882.0,0.08,2243.0,9667.33,-178.0,-767.18,92.6,78.7,-515.00,-2219.65
,04/10/2025 11:37,04/10/2025 12:20,XAUUSD,Buy,3.230,0.00000,0.00000,3123.24000,3123.30000,0.0000,0.0000,6.0,18.74,0.00,"XAU ZC-01 HL 7",6550,00:00:42:57,58.2,24m,520.0,0.68,526.0,1641.1200000000001,-358.0,-1116.96,59.5,41.2,-520.00,-1622.40
,04/10/2025 03:26,04/10/2025 08:36,XAUUSD,Buy,4.350,0.00000,0.00000,3123.36000,3104.89000,0.0000,0.0000,-1847.0,-8034.89,-0.92,"XAU ZC-01 HL 7",6550,00:05:09:37,37.6,1h 56m,2706.0,2.30,821.0,3571.35,-1885.0,-8199.75,30.3,1.4,-2668.00,-11605.80
,04/10/2025 08:33,04/10/2025 08:35,XAUUSD,Buy,3.260,0.00000,0.00000,3106.55000,3104.88000,0.0000,0.0000,-167.0,-544.74,-0.06,"XAU ZC-01 HL 2",6545,00:00:02:27,,,,,,,,,,,,
,04/10/2025 02:12,04/10/2025 03:25,XAUUSD,Buy,4.300,0.00000,0.00000,3104.16000,3126.23000,0.0000,0.0000,2207.0,9490.53,1.10,"XAU ZC-01 HL 2",6545,00:01:12:44,100.0,1h 12m,599.0,0.00,2496.0,10732.8,0.0,0.0,100.0,88.4,-289.00,-1242.70
,04/10/2025 03:13,04/10/2025 03:25,XAUUSD,Buy,3.220,0.00000,0.00000,3123.14000,3126.23000,0.0000,0.0000,309.0,995.95,0.12,"XAU ZC-01 HL 7",6550,00:00:12:17,91.7,11m,429.0,0.05,598.0,1925.5600000000002,-29.0,-93.38000000000001,95.4,53.9,-289.00,-930.58
,04/10/2025 01:13,04/10/2025 02:12,XAUUSD,Buy,4.270,0.00000,0.00000,3089.40000,3104.12000,0.0000,0.0000,1472.0,6285.44,0.74,"XAU ZC-01 HL 1",6543,00:00:59:15,40.7,24m,942.0,0.46,2046.0,8736.419999999998,-942.0,-4022.3399999999997,68.5,80.8,-574.00,-2450.98
,04/10/2025 02:12,04/10/2025 02:12,XAUUSD,Buy,3.200,0.00000,0.00000,3105.83000,3104.15000,0.0000,0.0000,-168.0,-536.96,-0.06,"XAU ZC-01 HL 2",6545,00:00:00:31,,,,,,,,,,,,
,04/09/2025 19:29,04/10/2025 00:43,XAUUSD,Buy,4.220,0.00000,0.00000,3089.08000,3095.61000,0.0000,0.0000,653.0,2758.19,0.32,"XAU ZC-01 HL 1",6543,00:05:13:56,23.9,1h 15m,2698.0,1.53,1147.0,4840.34,-1752.0,-7393.44,39.6,83.0,-494.00,-2084.68
