Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(JPY),Min(pips),Min(JPY),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(JPY)
03/10/2026 04:47,03/10/2026 21:19,XAUUSD,Buy,5169.57000,5166.95000,0.0000,0.0000,-262.0,-6622.00,-0.10,00:16:31:57,92.0,15h 12m,6862.0,0.18,6600.0,166782.0,-1182.0,-29869.14,84.8,11.8,-6862.00,-173402.74
03/09/2026 02:42,03/09/2026 23:00,XAUUSD,Sell,5061.40000,5142.32000,0.0000,0.0000,-8092.0,-51098.00,-0.73,00:20:17:09,0.0,0s,8092.0,10000.00,0.0,0.0,-8092.0,-51060.52,0.0,0.0,-8092.00,-51060.52
03/09/2026 02:42,03/09/2026 08:49,XAUUSD,Sell,5061.40000,5140.86000,0.0000,0.0000,-7946.0,-125814.00,-1.77,00:06:06:29,0.0,0s,7946.0,10000.00,0.0,0.0,-7946.0,-125785.18000000001,0.0,0.0,-7946.00,-125785.18
03/06/2026 17:00,03/09/2026 02:10,XAUUSD,Buy,5136.99000,5094.14000,0.0000,-2048.0000,-4285.0,-117368.00,-1.62,02:09:10:39,93.1,2d 5h ,14006.0,2.77,3711.0,99863.01,-10295.0,-277038.45,26.5,42.9,-7996.00,-215172.36
03/06/2026 17:00,03/09/2026 01:15,XAUUSD,Buy,5135.17000,5132.72000,0.0000,-482.0000,-245.0,-2035.00,-0.03,02:08:15:43,94.7,2d 5h ,14006.0,2.60,3893.0,24681.62,-10113.0,-64116.42,27.8,70.5,-4138.00,-26234.92
03/05/2026 17:08,03/06/2026 17:02,XAUUSD,Sell,5077.63000,5151.87000,0.0000,549.0000,-7424.0,-104738.00,-1.43,00:23:53:39,15.0,3h 35m,10643.0,4.90,1803.0,25566.54,-8840.0,-125351.2,16.9,13.3,-9227.00,-130838.86
03/06/2026 09:50,,,Deposit,0.00000,0.00000,0.0000,0.0000,0.0,1183870.00,0,00:00:00:00,,,,,,,,,,,,
03/05/2026 04:58,03/06/2026 02:00,XAUUSD,Buy,5192.47000,5085.75000,0.0000,-478.0000,-10672.0,-67743.00,-1.09,00:21:01:19,0.0,0s,13287.0,0.00,0.0,0.0,-13287.0,-83708.09999999999,0.0,19.7,-10672.00,-67233.60
03/05/2026 05:05,03/05/2026 08:00,XAUUSD,Buy,5195.42000,5146.37000,0.0000,0.0000,-4905.0,-115653.00,-1.83,00:02:54:35,0.0,0s,6770.0,10000.00,0.0,0.0,-6770.0,-159636.59999999998,0.0,27.5,-4905.00,-115659.90
03/03/2026 13:29,03/03/2026 21:01,XAUUSD,Sell,5140.49000,5143.98000,0.0000,0.0000,-349.0,-3301.00,-0.05,00:07:32:29,88.8,6h 41m,14249.0,0.32,13692.0,129526.32,-4349.0,-41141.54,75.9,22.2,-14041.00,-132827.86
03/03/2026 13:09,03/03/2026 14:55,XAUUSD,Sell,5160.03000,5213.55000,0.0000,0.0000,-5352.0,-118157.00,-1.83,00:01:45:58,23.6,25m,8062.0,1.98,2710.0,59836.799999999996,-5352.0,-118172.15999999999,33.6,0.0,-8062.00,-178008.96
03/03/2026 04:11,,,Deposit,0.00000,0.00000,0.0000,0.0000,0.0,1367174.00,0,00:00:00:00,,,,,,,,,,,,
02/27/2026 15:06,03/02/2026 09:18,XAUUSD,Buy,5197.89000,5417.81000,0.0000,-1884.0000,21992.0,516054.00,11.28,02:18:11:37,100.0,2d 18h ,8263.0,0.00,21992.0,517911.60000000003,0.0,0.0,100.0,100.0,0.00,0.00
02/27/2026 15:07,03/02/2026 01:05,XAUUSD,Buy,5207.23000,5362.49500,0.0000,-502.0000,15526.5,96554.00,2.16,02:09:57:16,100.0,2d 9h ,7074.0,0.00,18132.0,113325.0,0.0,0.0,100.0,85.6,-2605.50,-16284.38
02/25/2026 17:04,02/25/2026 22:57,XAUUSD,Buy,5201.78000,5163.01000,0.0000,0.0000,-3877.0,-84920.00,-1.86,00:05:53:12,44.2,2h 36m,6595.0,3.31,1529.0,33485.1,-5066.0,-110945.4,23.2,18.0,-5406.00,-118391.40
02/20/2026 11:17,02/23/2026 08:00,XAUUSD,Buy,5042.52000,5157.29000,0.0000,-388.0000,11477.0,52793.00,1.17,02:20:42:41,95.1,2d 17h ,4422.0,0.23,13240.0,61301.2,-3070.0,-14214.1,81.2,89.2,-1763.00,-8162.69
02/20/2026 08:11,02/20/2026 17:03,XAUUSD,Buy,5018.60000,5016.44000,0.0000,0.0000,-216.0,-4028.00,-0.09,00:08:52:26,91.4,8h 6m,6823.0,0.46,5148.0,96010.2,-2378.0,-44349.7,68.4,28.7,-5364.00,-100038.60
02/17/2026 07:15,02/18/2026 05:06,XAUUSD,Sell,4915.59000,4915.41000,0.0000,578.0000,18.0,827.00,0.02,00:21:51:03,64.6,14h 6m,8363.0,0.45,6135.0,84847.05,-2744.0,-37949.52,69.1,31.1,-6117.00,-84598.11
02/17/2026 07:19,02/17/2026 20:40,XAUUSD,Sell,4896.31000,4896.41000,0.0000,0.0000,-10.0,-61.00,0.00,00:13:21:39,47.5,6h 20m,5671.0,1.05,4437.0,27065.699999999997,-4672.0,-28499.199999999997,48.7,51.2,-4447.00,-27126.70
02/16/2026 01:24,,,Deposit,0.00000,0.00000,0.0000,0.0000,0.0,1193077.00,0,00:00:00:00,,,,,,,,,,,,
02/12/2026 23:28,02/13/2026 17:36,XAUUSD,Sell,4920.15000,5017.57000,0.0000,0.0000,-9742.0,-59649.00,-1.76,00:18:08:01,2.3,25m,11726.0,11.10,970.0,5936.400000000001,-10756.0,-65826.72,8.3,8.6,-10712.00,-65557.44
02/12/2026 18:12,02/13/2026 15:30,XAUUSD,Sell,5007.15000,4981.96000,0.0000,0.0000,2519.0,3856.00,0.11,00:21:17:56,98.9,21h 3m,11665.0,0.03,11371.0,17397.63,-294.0,-449.82,97.5,24.1,-8852.00,-13543.56
02/11/2026 15:31,02/12/2026 18:00,XAUUSD,Sell,5018.20000,5060.73000,0.0000,1067.0000,-4253.0,-24903.00,-0.73,01:02:29:06,7.3,1h 56m,16472.0,0.64,12219.0,74658.09000000001,-7801.0,-47664.11,61.0,17.7,-16472.00,-100643.92
02/11/2026 11:47,02/12/2026 08:30,XAUUSD,Buy,5071.04000,5055.39000,0.0000,-1353.0000,-1565.0,-8554.00,-0.25,00:20:42:56,44.6,9h 14m,6799.0,0.67,4083.0,18781.8,-2716.0,-12493.599999999999,60.1,16.9,-5648.00,-25980.80
02/10/2026 16:31,02/11/2026 14:00,XAUUSD,Buy,5075.35000,5114.81000,0.0000,-112.0000,3946.0,5945.00,0.17,00:21:28:53,12.5,2h 41m,6967.0,1.77,3946.0,6037.38,-6967.0,-10659.51,36.2,100.0,0.00,0.00
02/09/2026 22:33,02/10/2026 20:00,XAUUSD,Buy,5086.02000,5025.28000,0.0000,-113.0000,-6074.0,-9490.00,-0.28,00:21:26:57,0.0,0s,8034.0,10000.00,0.0,0.0,-8034.0,-12372.36,0.0,24.4,-6074.00,-9353.96
02/09/2026 16:45,02/10/2026 14:00,XAUUSD,Buy,5040.05000,5055.42000,0.0000,-113.0000,1537.0,2274.00,0.07,00:21:15:02,57.7,12h 15m,6914.0,0.66,4164.0,6454.2,-2750.0,-4262.5,60.2,62.0,-2627.00,-4071.85
02/05/2026 05:24,,,Deposit,0.00000,0.00000,0.0000,0.0000,0.0,1600000.00,0,00:00:00:00,,,,,,,,,,,,
01/30/2026 11:42,01/30/2026 14:01,XAUUSD,Sell,5007.50000,5146.40000,0.0000,0.0000,-13890.0,-21371.00,-1.17,00:02:18:23,7.2,9m,15178.0,10.79,1288.0,1983.52,-13890.0,-21390.600000000002,8.5,0.0,-15178.00,-23374.12
01/30/2026 11:42,01/30/2026 12:20,XAUUSD,Sell,5007.59000,5060.52000,0.0000,0.0000,-5293.0,-32628.00,-1.75,00:00:37:21,0.0,0s,12815.0,0.00,0.0,0.0,-12815.0,-78940.40000000001,0.0,58.7,-5293.00,-32604.88
