Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
05/14/2026 12:30,05/14/2026 12:44,XAUUSD,Sell,0.110,4703.25000,4700.25000,0.0000,0.0000,300.0,33.00,0.13,00:00:14:34,26.7,3m,728.0,1.17,485.0,53.35,-569.0,-62.59,46.0,82.4,-185.00,-20.35
05/14/2026 11:30,05/14/2026 11:39,XAUUSD,Buy,0.120,4692.35000,4695.35000,0.0000,0.0000,300.0,36.00,0.14,00:00:09:07,80.0,7m,98.0,0.32,304.0,36.48,-98.0,-11.76,75.6,99.0,-4.00,-0.48
05/14/2026 03:45,05/14/2026 04:09,XAUUSD,Buy,0.120,4676.78000,4679.78000,0.0000,0.0000,300.0,36.00,0.14,00:00:24:29,20.0,4m,513.0,1.64,300.0,36.0,-491.0,-58.919999999999995,37.9,100.0,0.00,0.00
05/14/2026 03:15,05/14/2026 03:16,XAUUSD,Buy,0.120,4683.29000,4686.29000,0.0000,0.0000,300.0,36.00,0.14,00:00:01:15,,,,,,,,,,,,
05/13/2026 22:15,05/14/2026 01:07,XAUUSD,Sell,0.100,4691.16000,4688.16000,0.0000,0.0000,300.0,30.00,0.12,00:02:52:16,2.4,4m,1527.0,4.65,303.0,30.3,-1409.0,-140.9,17.7,99.8,-3.00,-0.30
05/13/2026 23:15,05/14/2026 00:18,XAUUSD,Buy,0.240,4701.44000,4704.16000,0.0000,0.0000,272.0,65.38,0.26,00:01:03:07,6.3,3m,1148.0,3.31,346.0,83.03999999999999,-1146.0,-275.03999999999996,23.2,95.0,-74.00,-17.76
05/13/2026 18:45,05/13/2026 19:18,XAUUSD,Buy,0.100,4686.50000,4689.50000,0.0000,0.0000,300.0,30.00,0.12,00:00:33:36,32.4,10m,755.0,2.01,375.0,37.5,-755.0,-75.5,33.2,93.4,-75.00,-7.50
05/13/2026 16:00,05/13/2026 17:34,XAUUSD,Sell,0.100,4695.40000,4692.40000,0.0000,0.0000,300.0,30.00,0.12,00:01:34:18,3.2,3m,1412.0,2.76,511.0,51.1,-1412.0,-141.20000000000002,26.6,89.0,-211.00,-21.10
05/13/2026 15:45,05/13/2026 15:51,XAUUSD,Sell,0.100,4699.21000,4696.21000,0.0000,0.0000,300.0,30.00,0.12,00:00:06:38,100.0,6m,147.0,0.00,309.0,30.900000000000002,0.0,0.0,100.0,97.1,-9.00,-0.90
05/13/2026 12:30,05/13/2026 13:01,XAUUSD,Buy,0.100,4687.01000,4690.01000,0.0000,0.0000,300.0,30.00,0.12,00:00:31:09,9.4,2m,885.0,2.95,300.0,30.0,-885.0,-88.5,25.3,100.0,0.00,0.00
05/13/2026 09:15,05/13/2026 09:51,XAUUSD,Buy,0.100,4694.65000,4697.65000,0.0000,0.0000,300.0,30.00,0.12,00:00:36:10,13.6,4m,797.0,2.55,313.0,31.3,-797.0,-79.7,28.2,98.8,-13.00,-1.30
05/13/2026 08:45,05/13/2026 08:54,XAUUSD,Buy,0.100,4696.43000,4699.43000,0.0000,0.0000,300.0,30.00,0.12,00:00:09:50,90.0,8m,116.0,0.25,416.0,41.6,-102.0,-10.200000000000001,80.3,77.6,-116.00,-11.60
05/13/2026 06:00,05/13/2026 06:56,XAUUSD,Sell,0.100,4704.17000,4701.17000,0.0000,0.0000,300.0,30.00,0.12,00:00:56:31,9.0,5m,1063.0,2.34,455.0,45.5,-1063.0,-106.30000000000001,30.0,89.8,-155.00,-15.50
05/13/2026 01:15,05/13/2026 06:15,XAUUSD,Buy,0.100,4710.13000,4713.13000,0.0000,0.0000,300.0,30.00,0.12,00:05:00:20,3.0,9m,2081.0,6.94,300.0,30.0,-2081.0,-208.10000000000002,12.6,100.0,0.00,0.00
05/13/2026 05:15,05/13/2026 05:18,XAUUSD,Sell,0.100,4705.10000,4702.10000,0.0000,0.0000,300.0,30.00,0.12,00:00:03:31,,,,,,,,,,,,
05/12/2026 19:24,05/13/2026 02:09,XAUUSD,Sell,0.100,4702.59000,4699.59000,0.0000,0.0000,300.0,30.00,0.12,00:06:44:43,1.5,6m,2298.0,7.66,300.0,30.0,-2298.0,-229.8,11.5,100.0,0.00,0.00
05/12/2026 23:15,05/12/2026 23:25,XAUUSD,Buy,0.240,4718.11000,4722.80000,0.0000,0.0000,469.0,112.59,0.46,00:00:10:09,72.8,7m,278.0,0.12,469.0,112.56,-58.0,-13.92,89.0,100.0,0.00,0.00
05/11/2026 23:15,05/11/2026 23:27,XAUUSD,Buy,0.240,4751.22000,4754.14000,0.0000,0.0000,292.0,70.08,0.29,00:00:12:27,100.0,12m,186.0,0.00,292.0,70.08,0.0,0.0,100.0,100.0,0.00,0.00
05/10/2026 23:15,05/10/2026 23:18,XAUUSD,Buy,0.240,4690.72000,4692.98000,0.0000,0.0000,226.0,54.24,0.22,00:00:03:29,,,,,,,,,,,,
05/07/2026 23:15,05/07/2026 23:22,XAUUSD,Buy,0.240,4692.47000,4697.29000,0.0000,0.0000,482.0,115.64,0.48,00:00:07:21,100.0,7m,126.0,0.00,536.0,128.64,0.0,0.0,100.0,89.9,-54.00,-12.96
05/06/2026 23:15,05/06/2026 23:46,XAUUSD,Buy,0.240,4694.85000,4698.51000,0.0000,0.0000,366.0,87.79,0.36,00:00:31:03,25.0,7m,532.0,0.80,418.0,100.32,-335.0,-80.39999999999999,55.5,93.1,-52.00,-12.48
05/05/2026 23:15,05/05/2026 23:50,XAUUSD,Buy,0.240,4589.30000,4592.80000,0.0000,0.0000,350.0,83.95,0.35,00:00:35:05,8.4,2m,805.0,1.51,534.0,128.16,-805.0,-193.2,39.9,86.3,-184.00,-44.16
05/04/2026 23:15,05/05/2026 00:03,XAUUSD,Buy,0.240,4520.78000,4523.21000,0.0000,0.0000,243.0,58.39,0.24,00:00:48:01,24.5,11m,369.0,1.18,250.0,60.0,-295.0,-70.8,45.9,98.7,-7.00,-1.68
