Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
04/13/2026 19:47,04/13/2026 19:53,XAUUSD,Buy,0.020,4736.40000,0.00000,4746.01000,4736.27000,-0.1200,0.0000,-974.0,-19.60,-2.31,"Gold G system[sl 4736.40]",00:00:06:30,0.0,0s,974.0,1000.00,0.0,0.0,-974.0,-19.48,0.0,0.0,-974.00,-19.48
04/13/2026 18:05,04/13/2026 18:12,XAUUSD,Sell,0.020,4710.82000,0.00000,4701.21000,4710.85000,-0.1200,0.0000,-964.0,-19.40,-2.24,"Gold G system[sl 4710.82]",00:00:06:25,0.0,0s,3086.0,3333.33,0.0,0.0,-3086.0,-61.72,0.0,68.8,-964.00,-19.28
04/13/2026 16:49,04/13/2026 16:52,XAUUSD,Buy,0.020,4730.52000,0.00000,4740.09000,4730.23000,-0.1200,0.0000,-986.0,-19.84,-2.24,"Gold G system[sl 4730.52]",00:00:02:43,,,,,,,,,,,,
04/10/2026 11:47,04/10/2026 11:58,XAUUSD,Sell,0.020,4743.03000,0.00000,4735.55000,4742.98000,-0.1200,0.0000,-743.0,-14.98,-1.66,"Gold G system[sl 4743.03]",00:00:10:45,0.0,0s,3015.0,3333.33,0.0,0.0,-3015.0,-60.300000000000004,0.0,75.4,-743.00,-14.86
04/09/2026 11:44,04/09/2026 12:07,XAUUSD,Buy,0.020,4723.92000,0.00000,4733.44000,4723.67000,-0.1200,0.0000,-977.0,-19.66,-2.13,"Gold G system[sl 4723.92]",00:00:22:49,95.7,21m,3346.0,0.41,2369.0,47.38,-977.0,-19.54,70.8,0.0,-3346.00,-66.92
04/09/2026 03:07,04/09/2026 03:21,XAUUSD,Sell,0.020,4708.72000,0.00000,4699.35000,4708.75000,-0.1200,0.0000,-940.0,-18.92,-2.01,"Gold G system[sl 4708.72]",00:00:14:15,0.0,0s,1881.0,2000.00,0.0,0.0,-1881.0,-37.62,0.0,50.0,-940.00,-18.80
04/08/2026 20:55,04/08/2026 21:05,XAUUSD,Sell,0.030,4741.68000,0.00000,4732.65000,4741.72000,-0.1800,0.0000,-907.0,-27.39,-2.83,"Gold G system[sl 4741.68]",00:00:09:20,,,,,,,,,,,,
04/08/2026 01:54,04/08/2026 02:00,XAUUSD,Buy,0.030,4809.62000,0.00000,4800.53000,4809.14000,-0.1800,0.0000,861.0,25.65,2.72,"Gold G system",00:00:06:01,,,,,,,,,,,,
04/07/2026 22:45,04/07/2026 22:49,XAUUSD,Buy,0.030,4705.00000,0.00000,4709.50000,4704.36000,-0.1800,0.0000,-514.0,-15.60,-1.63,"Gold G system",00:00:03:51,,,,,,,,,,,,
04/07/2026 22:20,04/07/2026 22:21,XAUUSD,Buy,0.030,4692.35000,0.00000,4696.06000,4692.30000,-0.1800,0.0000,-376.0,-11.46,-1.18,"Gold G system[sl 4692.35]",00:00:01:04,,,,,,,,,,,,
