Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
04/17/2026 14:46,04/17/2026 17:43,XAUUSD,Buy,4804.98000,4881.00000,-1.1400,0.0000,7602.0,1443.24,18.81,00:02:56:57,100.0,2h 56m,2568.0,0.00,7602.0,1444.38,0.0,0.0,100.0,100.0,0.00,0.00
04/17/2026 16:10,04/17/2026 17:00,XAUUSD,Buy,4874.83000,4881.19000,-1.1400,0.0000,636.0,119.70,1.58,00:00:49:05,2.1,1m,985.0,1.55,636.0,120.84,-985.0,-187.15,39.2,100.0,0.00,0.00
04/17/2026 08:30,04/17/2026 16:00,XAUUSD,Buy,4803.70000,4846.37000,-1.1400,0.0000,4267.0,809.59,12.01,00:07:29:59,56.7,4h 15m,3746.0,0.23,8013.0,1522.47,-1858.0,-353.02,81.2,62.1,-3746.00,-711.74
04/17/2026 03:05,04/17/2026 03:10,XAUUSD,Buy,4788.54000,4790.88000,-1.1400,0.0000,234.0,43.32,0.65,00:00:05:00,,,,,,,,,,,,
04/16/2026 16:55,04/16/2026 22:30,XAUUSD,Sell,4788.52000,4791.95000,-1.1400,0.0000,-343.0,-66.31,-0.98,00:05:34:42,12.0,40m,1497.0,1.48,604.0,114.76,-893.0,-169.67000000000002,40.3,36.7,-947.00,-179.93
04/16/2026 08:30,04/16/2026 16:00,XAUUSD,Buy,4832.66000,4817.24000,-1.1400,0.0000,-1542.0,-294.12,-4.17,00:07:30:00,0.0,0s,4520.0,5000.00,0.0,0.0,-4520.0,-858.8,0.0,65.9,-1542.00,-292.98
04/15/2026 12:47,04/15/2026 22:30,XAUUSD,Sell,4791.54000,4802.94000,-1.1400,0.0000,-1140.0,-217.74,-2.99,00:09:42:47,14.7,1h 25m,3724.0,12.35,302.0,57.38,-3724.0,-707.5600000000001,7.5,64.2,-1442.00,-273.98
04/15/2026 12:00,04/15/2026 12:05,XAUUSD,Sell,4818.36000,4815.33000,-1.1400,0.0000,303.0,56.43,0.78,00:00:04:59,,,,,,,,,,,,
04/15/2026 04:16,04/15/2026 04:16,XAUUSD,Buy,4856.51000,4857.48000,-1.1400,0.0000,97.0,17.29,0.24,00:00:00:02,,,,,,,,,,,,
04/15/2026 04:16,04/15/2026 04:16,XAUUSD,Buy,4854.09000,4857.44000,-1.1400,0.0000,335.0,62.51,0.88,00:00:00:04,,,,,,,,,,,,
04/15/2026 04:16,04/15/2026 04:16,XAUUSD,Buy,4856.58000,4856.89000,-1.1400,0.0000,31.0,4.75,0.07,00:00:00:00,,,,,,,,,,,,
04/14/2026 16:38,04/14/2026 16:39,XAUUSD,Buy,4799.05000,4791.69000,-1.1400,0.0000,-736.0,-140.98,-1.94,00:00:01:39,,,,,,,,,,,,
04/14/2026 16:38,04/14/2026 16:39,XAUUSD,Buy,4802.01000,4792.72000,-1.1400,0.0000,-929.0,-177.65,-2.38,00:00:01:14,,,,,,,,,,,,
04/14/2026 03:52,04/14/2026 03:52,XAUUSD,Sell,4770.52000,4770.11000,-1.1400,0.0000,41.0,6.65,0.09,00:00:00:15,,,,,,,,,,,,
04/14/2026 03:46,04/14/2026 03:47,XAUUSD,Sell,4770.50000,4770.59000,-1.1400,0.0000,-9.0,-2.85,-0.04,00:00:00:13,,,,,,,,,,,,
04/13/2026 01:02,04/13/2026 01:02,XAUUSD,Sell,4667.75000,4670.39000,-0.1800,0.0000,-264.0,-8.10,-0.11,00:00:00:03,,,,,,,,,,,,
04/10/2026 03:21,04/10/2026 03:21,XAUUSD,Buy,4757.85000,4756.05000,-0.1800,0.0000,-180.0,-5.58,-0.07,00:00:00:18,,,,,,,,,,,,
04/10/2026 03:20,04/10/2026 03:20,XAUUSD,Buy,4758.21000,4757.89000,-0.1800,0.0000,-32.0,-1.14,-0.02,00:00:00:06,,,,,,,,,,,,
04/08/2026 01:54,04/08/2026 02:00,XAUUSD,Buy,4798.33000,4804.42000,-0.1800,0.0000,609.0,18.09,0.24,00:00:06:05,,,,,,,,,,,,
04/08/2026 01:54,04/08/2026 02:00,XAUUSD,Buy,4797.76000,4808.43000,-0.1800,0.0000,1067.0,31.83,0.43,00:00:06:06,,,,,,,,,,,,
04/08/2026 01:54,04/08/2026 02:00,XAUUSD,Buy,4799.92000,4809.51000,-0.1800,0.0000,959.0,28.59,0.39,00:00:05:59,,,,,,,,,,,,
04/08/2026 01:54,04/08/2026 01:56,XAUUSD,Buy,4798.26000,4814.42000,-0.1800,0.0000,1616.0,48.30,0.66,00:00:01:43,,,,,,,,,,,,
04/08/2026 01:54,04/08/2026 01:56,XAUUSD,Buy,4797.84000,4814.01000,-0.1800,0.0000,1617.0,48.33,0.66,00:00:01:37,,,,,,,,,,,,
04/07/2026 22:45,04/08/2026 01:01,XAUUSD,Buy,4709.14000,4747.15000,-0.1800,-1.9900,3801.0,111.86,1.56,00:02:15:03,100.0,2h 15m,8743.0,0.00,12544.0,376.32,0.0,0.0,100.0,30.3,-8743.00,-262.29
04/07/2026 22:45,04/08/2026 01:01,XAUUSD,Buy,4710.48000,4747.04000,-0.1800,-1.9900,3656.0,107.51,1.52,00:02:15:04,100.0,2h 15m,8754.0,0.00,12410.0,372.3,0.0,0.0,100.0,29.5,-8754.00,-262.62
04/07/2026 22:45,04/07/2026 22:49,XAUUSD,Buy,4708.95000,4706.00000,-0.1800,0.0000,-295.0,-9.03,-0.13,00:00:03:46,,,,,,,,,,,,
04/07/2026 17:06,04/07/2026 19:03,XAUUSD,Sell,4611.16000,4666.53000,-0.1800,0.0000,-5537.0,-166.29,-2.29,00:01:56:47,0.0,0s,7282.0,10000.00,0.0,0.0,-7282.0,-218.45999999999998,0.0,24.0,-5537.00,-166.11
04/07/2026 17:06,04/07/2026 17:37,XAUUSD,Sell,4610.56000,4660.14000,-0.1800,0.0000,-4958.0,-148.92,-2.01,00:00:31:01,,,,,,,,,,,,
04/07/2026 17:06,04/07/2026 17:33,XAUUSD,Sell,4612.96000,4654.59000,-0.1800,0.0000,-4163.0,-125.07,-1.66,00:00:27:35,,,,,,,,,,,,
