Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
11/25/2025 18:30,11/25/2025 19:59,NAS100,Buy,0.010,24931.50000,25075.30000,24807.00000,24931.00000,0.0000,0.0000,124.0,12.41,2.83,"MTL-8315M0FF buy-main",00:01:29:12,,,,,,,,,,,,
11/24/2025 18:30,11/25/2025 08:23,NAS100,Buy,0.010,24854.70000,25003.70000,24809.00000,24855.00000,0.0000,0.0000,46.0,4.60,1.06,"MTL-8315M0FF buy-main",00:13:53:26,,,,,,,,,,,,
11/21/2025 18:30,11/21/2025 18:52,NAS100,Sell,0.010,24210.00000,23960.00000,24112.00000,24210.00000,0.0000,0.0000,-98.0,-9.81,-2.21,"MTL-8315M0FF sell-main",00:00:22:39,,,,,,,,,,,,
11/20/2025 18:30,11/20/2025 18:49,NAS100,Sell,0.010,24720.40000,24584.80000,24826.00000,24721.00000,0.0000,0.0000,105.0,10.49,2.42,"MTL-8315M0FF sell-main[sl]",00:00:19:02,,,,,,,,,,,,
11/19/2025 18:30,11/19/2025 19:42,NAS100,Sell,0.010,24524.00000,24393.80000,24633.00000,24524.00000,0.0000,0.0000,109.0,10.88,2.57,"MTL-8315M0FF sell-main",00:01:12:11,,,,,,,,,,,,
11/18/2025 18:30,11/18/2025 19:36,NAS100,Sell,0.010,24500.90000,24354.20000,24579.00000,24501.00000,0.0000,0.0000,78.0,7.81,1.88,"MTL-8315M0FF sell-main",00:01:06:57,,,,,,,,,,,,
11/17/2025 18:30,11/17/2025 18:50,NAS100,Sell,0.010,25098.90000,24848.90000,24999.00000,25103.00000,0.0000,0.0000,-104.0,-10.39,-2.44,"MTL-8315M0FF sell-main[sl]",00:00:20:30,,,,,,,,,,,,
11/14/2025 18:30,11/14/2025 20:03,NAS100,Buy,0.010,25067.30000,25317.30000,25166.00000,25067.00000,0.0000,0.0000,-99.0,-9.91,-2.27,"MTL-8315M0FF buy-main",00:01:33:34,,,,,,,,,,,,
11/13/2025 18:30,11/13/2025 21:25,NAS100,Sell,0.010,25020.20000,24875.40000,25145.00000,25020.00000,0.0000,0.0000,125.0,12.52,2.96,"MTL-8315M0FF sell-main",00:02:55:18,,,,,,,,,,,,
11/12/2025 18:30,11/12/2025 19:06,NAS100,Sell,0.010,25484.90000,25335.20000,25500.00000,25486.00000,0.0000,0.0000,14.0,1.47,0.35,"MTL-8315M0FF sell-main[sl]",00:00:36:55,,,,,,,,,,,,
11/11/2025 18:30,11/11/2025 19:52,NAS100,Sell,0.010,25526.80000,25276.80000,25427.00000,25527.00000,0.0000,0.0000,-100.0,-10.01,-2.32,"MTL-8315M0FF sell-main",00:01:22:38,,,,,,,,,,,,
11/10/2025 18:30,11/11/2025 06:54,NAS100,Buy,0.010,25613.90000,25758.40000,25398.00000,25613.00000,0.0000,0.0000,215.0,21.45,5.23,"MTL-8315M0FF buy-main",00:12:24:25,,,,,,,,,,,,
11/07/2025 18:30,11/07/2025 20:24,NAS100,Sell,0.010,24804.00000,24554.00000,24704.00000,24805.00000,0.0000,0.0000,-101.0,-10.07,-2.40,"MTL-8315M0FF sell-main",00:01:54:12,,,,,,,,,,,,
11/06/2025 18:30,11/06/2025 19:06,NAS100,Sell,0.010,25183.80000,25042.00000,25237.00000,25184.00000,0.0000,0.0000,53.0,5.31,1.28,"MTL-8315M0FF sell-main",00:00:36:17,,,,,,,,,,,,
11/05/2025 18:30,11/05/2025 22:43,NAS100,Buy,0.010,25706.20000,25854.40000,25645.00000,25706.00000,0.0000,0.0000,61.0,6.10,1.49,"MTL-8315M0FF buy-main",00:04:13:57,,,,,,,,,,,,
11/04/2025 18:30,11/04/2025 19:26,NAS100,Sell,0.010,25619.80000,25473.10000,25668.00000,25621.00000,0.0000,0.0000,47.0,4.76,1.18,"MTL-8315M0FF sell-main[sl]",00:00:56:15,,,,,,,,,,,,
11/03/2025 18:30,11/03/2025 19:47,NAS100,Sell,0.010,26045.50000,25795.50000,25946.00000,26046.00000,0.0000,0.0000,-100.0,-10.00,-2.41,"MTL-8315M0FF sell-main",00:01:17:01,,,,,,,,,,,,
10/31/2025 18:30,10/31/2025 19:51,NAS100,Sell,0.010,25858.00000,25708.30000,25890.00000,25859.00000,0.0000,0.0000,31.0,3.10,0.75,"MTL-8315M0FF sell-main",00:01:21:00,,,,,,,,,,,,
10/30/2025 18:30,10/30/2025 21:33,NAS100,Sell,0.010,25839.70000,25694.90000,25964.00000,25840.00000,0.0000,0.0000,124.0,12.47,3.13,"MTL-8315M0FF sell-main",00:03:03:05,,,,,,,,,,,,
10/29/2025 18:30,10/29/2025 20:35,NAS100,Buy,0.010,26036.10000,26286.10000,26136.00000,26036.00000,0.0000,0.0000,-100.0,-10.01,-2.45,"MTL-8315M0FF buy-main",00:02:05:34,,,,,,,,,,,,
10/28/2025 18:30,10/28/2025 22:00,NAS100,Buy,0.010,26037.30000,26186.60000,25977.00000,26037.00000,0.0000,0.0000,60.0,6.04,1.50,"MTL-8315M0FF buy-main",00:03:30:14,,,,,,,,,,,,
10/27/2025 18:30,10/28/2025 16:42,NAS100,Buy,0.010,25896.60000,26038.10000,25783.00000,25896.00000,0.0000,0.0000,113.0,11.31,2.89,"MTL-8315M0FF buy-main",00:22:12:16,,,,,,,,,,,,
10/24/2025 18:30,10/27/2025 00:05,NAS100,Buy,0.010,25307.60000,25557.60000,25408.00000,25558.00000,0.0000,0.0000,150.0,15.00,3.99,"MTL-8315M0FF buy-main",02:05:35:00,,,,,,,,,,,,
10/23/2025 18:30,10/24/2025 15:30,NAS100,Buy,0.010,25188.70000,25335.20000,25050.00000,25335.00000,0.0000,0.0000,285.0,28.50,8.20,"MTL-8315M0FF buy-main",00:21:00:10,,,,,,,,,,,,
10/22/2025 18:30,10/22/2025 18:52,NAS100,Sell,0.010,24992.50000,24742.50000,24893.00000,24993.00000,0.0000,0.0000,-100.0,-10.02,-2.80,"MTL-8315M0FF sell-main",00:00:22:01,,,,,,,,,,,,
10/21/2025 18:30,10/22/2025 16:35,NAS100,Buy,0.010,25039.90000,25289.90000,25140.00000,25039.00000,0.0000,0.0000,-101.0,-10.07,-2.74,"MTL-8315M0FF buy-main",00:22:05:22,,,,,,,,,,,,
10/20/2025 18:30,10/21/2025 16:49,NAS100,Buy,0.010,25083.70000,25333.70000,25184.00000,25083.00000,0.0000,0.0000,-101.0,-10.04,-2.66,"MTL-8315M0FF buy-main",00:22:19:08,,,,,,,,,,,,
10/17/2025 18:30,10/17/2025 18:49,NAS100,Sell,0.010,24687.30000,24437.30000,24589.00000,24687.00000,0.0000,0.0000,-98.0,-9.87,-2.55,"MTL-8315M0FF sell-main[sl]",00:00:19:04,,,,,,,,,,,,
10/16/2025 18:30,10/16/2025 19:00,NAS100,Buy,0.010,24789.90000,25039.90000,24890.00000,24790.00000,0.0000,0.0000,-100.0,-10.00,-2.51,"MTL-8315M0FF buy-main",00:00:30:30,,,,,,,,,,,,
10/15/2025 18:30,10/15/2025 18:41,NAS100,Buy,0.010,24802.00000,25052.00000,24902.00000,24800.00000,0.0000,0.0000,-102.0,-10.21,-2.50,"MTL-8315M0FF buy-main[sl]",00:00:11:30,,,,,,,,,,,,
10/14/2025 18:30,10/14/2025 18:47,NAS100,Sell,0.010,24647.90000,24397.90000,24548.00000,24648.00000,0.0000,0.0000,-100.0,-10.05,-2.40,"MTL-8315M0FF sell-main[sl]",00:00:17:03,,,,,,,,,,,,
10/13/2025 18:30,10/14/2025 03:19,NAS100,Sell,0.010,24821.50000,24571.50000,24722.00000,24822.00000,0.0000,0.0000,-100.0,-10.01,-2.34,"MTL-8315M0FF sell-main",00:08:49:16,,,,,,,,,,,,
10/10/2025 18:30,10/10/2025 18:35,NAS100,Sell,0.010,24584.90000,24440.60000,24648.00000,24586.00000,0.0000,0.0000,62.0,6.16,1.46,"MTL-8315M0FF sell-main[sl]",00:00:05:08,,,,,,,,,,,,
10/09/2025 18:30,10/10/2025 02:00,NAS100,Sell,0.010,25153.60000,24903.60000,25054.00000,25154.00000,0.0000,0.0000,-100.0,-10.01,-2.32,"MTL-8315M0FF sell-main",00:07:30:35,,,,,,,,,,,,
10/08/2025 18:30,10/09/2025 05:48,NAS100,Buy,0.010,25143.60000,25287.10000,25063.00000,25144.00000,0.0000,0.0000,81.0,8.09,1.91,"MTL-8315M0FF buy-main",00:11:18:21,,,,,,,,,,,,
10/07/2025 18:30,10/07/2025 19:01,NAS100,Sell,0.010,24879.60000,24729.80000,24895.00000,24880.00000,0.0000,0.0000,15.0,1.52,0.36,"MTL-8315M0FF sell-main",00:00:31:12,,,,,,,,,,,,
10/06/2025 18:30,10/06/2025 23:00,NAS100,Buy,0.010,24997.80000,25147.70000,24983.00000,24998.00000,0.0000,0.0000,15.0,1.48,0.35,"MTL-8315M0FF buy-main",00:04:30:04,,,,,,,,,,,,
10/03/2025 18:30,10/03/2025 20:04,NAS100,Buy,0.010,24845.40000,25095.40000,24946.00000,24845.00000,0.0000,0.0000,-101.0,-10.14,-2.35,"MTL-8315M0FF buy-main",00:01:34:16,,,,,,,,,,,,
10/02/2025 18:30,10/03/2025 15:41,NAS100,Buy,0.010,24930.00000,25079.10000,24854.00000,24930.00000,0.0000,0.0000,76.0,7.56,1.79,"MTL-8315M0FF buy-main",00:21:11:51,,,,,,,,,,,,
10/01/2025 18:30,10/02/2025 16:37,NAS100,Buy,0.010,24915.40000,25061.20000,24701.00000,24915.00000,0.0000,0.0000,214.0,21.41,5.33,"MTL-8315M0FF buy-main",00:22:07:23,,,,,,,,,,,,
09/30/2025 18:30,09/30/2025 22:31,NAS100,Sell,0.010,24685.30000,24435.30000,24585.00000,24685.00000,0.0000,0.0000,-100.0,-10.00,-2.43,"MTL-8315M0FF sell-main",00:04:01:57,,,,,,,,,,,,
09/29/2025 18:30,09/30/2025 10:41,NAS100,Buy,0.010,24574.40000,24824.40000,24674.00000,24574.00000,0.0000,0.0000,-100.0,-10.02,-2.37,"MTL-8315M0FF buy-main",00:16:11:41,,,,,,,,,,,,
09/26/2025 18:30,09/26/2025 21:26,NAS100,Sell,0.010,24527.50000,24277.50000,24428.00000,24528.00000,0.0000,0.0000,-100.0,-10.01,-2.32,"MTL-8315M0FF sell-main",00:02:56:42,,,,,,,,,,,,
