Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
04/27/2026 01:31,04/27/2026 04:51,USDCAD,Sell,0.400,1.36786,1.36625,-2.6000,0.0000,16.1,37.60,0.27,"DVAMA_Churn",00:03:20:23,100.0,3h 20m,4.4,0.06,16.4,41.0,0.0,0.0,100.0,98.2,-0.30,-0.75
04/27/2026 01:37,04/27/2026 04:01,EURUSD,Buy,0.290,1.17074,1.17234,-1.8800,0.0000,16.0,37.70,0.27,"DVAMA_Churn",00:02:24:22,72.3,1h 44m,3.8,0.11,16.2,40.014,-1.8,-4.446000000000001,90.0,98.9,-0.20,-0.49
04/27/2026 01:35,04/27/2026 04:01,GBPUSD,Buy,0.290,1.35132,1.35292,-1.8800,0.0000,16.0,37.70,0.27,"DVAMA_Churn",00:02:26:17,95.9,2h 20m,5.3,0.03,16.0,39.52,-0.5,-1.235,97.0,100.0,0.00,0.00
04/27/2026 01:33,04/27/2026 04:01,USDJPY,Sell,0.470,159.57300,159.41200,-3.0600,0.0000,16.1,37.44,0.27,"DVAMA_Churn",00:02:28:01,68.3,1h 41m,8.5,0.12,17.7,44.604,-2.1,-5.292000000000001,89.4,91.9,-1.60,-4.03
04/23/2026 01:35,04/23/2026 13:43,AUDCHF,Buy,0.230,0.56161,0.56042,-1.5000,0.0000,-11.9,-31.33,-0.23,"DVAMA_Churn",00:12:07:58,14.2,1h 43m,14.6,4.41,2.7,6.777,-11.9,-29.869,18.5,0.0,-14.60,-36.65
04/23/2026 01:51,04/23/2026 06:01,CHFJPY,Sell,0.470,203.22600,203.06600,-3.0600,0.0000,16.0,37.24,0.27,"DVAMA_Churn",00:04:10:05,88.0,3h 40m,12.2,0.18,16.4,41.327999999999996,-2.9,-7.308,85.0,97.9,-0.40,-1.01
04/23/2026 01:47,04/23/2026 03:16,GBPJPY,Buy,0.470,215.33000,215.20500,-3.0600,0.0000,-12.5,-34.53,-0.25,"DVAMA_Churn",00:01:29:08,7.9,7m,14.6,5.95,2.1,5.292000000000001,-12.5,-31.5,14.4,0.0,-14.60,-36.79
04/23/2026 01:35,04/23/2026 03:14,AUDJPY,Buy,0.470,114.14900,114.03000,-3.0600,0.0000,-11.9,-33.02,-0.24,"DVAMA_Churn",00:01:39:53,26.3,26m,13.7,7.56,1.6,4.032,-12.1,-30.492,11.7,1.5,-13.50,-34.02
04/21/2026 01:47,04/21/2026 08:56,AUDJPY,Buy,0.470,114.00300,113.88300,-3.0600,0.0000,-12.0,-33.19,-0.24,"DVAMA_Churn",00:07:08:59,36.5,2h 36m,26.5,0.84,14.4,36.144,-12.1,-30.370999999999995,54.3,0.4,-26.40,-66.26
04/21/2026 01:53,04/21/2026 03:26,USDJPY,Buy,0.470,158.78300,158.94300,-3.0600,0.0000,16.0,37.10,0.27,"DVAMA_Churn",00:01:33:07,89.4,1h 23m,3.3,0.14,16.1,40.411,-2.2,-5.522,88.0,99.5,-0.10,-0.25
04/20/2026 01:29,04/20/2026 05:32,GBPCAD,Buy,0.400,1.84793,1.84953,-2.6000,0.0000,16.0,37.13,0.27,"DVAMA_Churn",00:04:03:01,85.6,3h 28m,13.6,0.34,16.0,39.68,-5.5,-13.64,74.4,100.0,0.00,0.00
04/20/2026 01:49,04/20/2026 05:26,GBPUSD,Buy,0.290,1.34864,1.35025,-1.8800,0.0000,16.1,37.82,0.27,"DVAMA_Churn",00:03:37:15,80.7,2h 55m,12.9,0.50,16.1,39.76700000000001,-8.0,-19.76,66.8,100.0,0.00,0.00
04/20/2026 01:25,04/20/2026 03:17,NZDCAD,Buy,0.400,0.80324,0.80484,-2.6000,0.0000,16.0,37.15,0.27,"DVAMA_Churn",00:01:52:10,98.3,1h 50m,6.4,0.03,16.0,39.68,-0.4,-0.992,97.6,100.0,0.00,0.00
04/20/2026 01:27,04/20/2026 03:05,EURCAD,Buy,0.400,1.60807,1.60968,-2.6000,0.0000,16.1,37.41,0.27,"DVAMA_Churn",00:01:38:01,98.0,1h 36m,7.3,0.16,16.1,40.089000000000006,-2.5,-6.2250000000000005,86.6,100.0,0.00,0.00
04/20/2026 01:25,04/20/2026 03:05,EURUSD,Buy,0.290,1.17319,1.17479,-1.8800,0.0000,16.0,37.62,0.28,"DVAMA_Churn",00:01:39:56,98.0,1h 37m,9.1,0.14,16.0,39.52,-2.3,-5.681,87.4,100.0,0.00,0.00
