Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
05/04/2026 08:36,05/04/2026 08:43,XAUUSD,Sell,4595.68000,4595.11000,0.0000,0.0000,57.0,20.97,0.11,00:00:06:53,,,,,,,,,,,,
05/04/2026 08:36,05/04/2026 08:43,XAUUSD,Sell,4595.66000,4595.11000,0.0000,0.0000,55.0,20.24,0.10,00:00:06:54,,,,,,,,,,,,
05/04/2026 08:36,05/04/2026 08:43,XAUUSD,Sell,4594.81000,4595.11000,0.0000,0.0000,-30.0,-11.04,-0.06,00:00:07:20,,,,,,,,,,,,
05/04/2026 08:36,05/04/2026 08:43,XAUUSD,Sell,4594.68000,4595.11000,0.0000,0.0000,-43.0,-15.82,-0.08,00:00:07:21,,,,,,,,,,,,
05/04/2026 08:35,05/04/2026 08:43,XAUUSD,Sell,4594.69000,4595.11000,0.0000,0.0000,-42.0,-15.45,-0.08,00:00:07:24,,,,,,,,,,,,
05/04/2026 08:35,05/04/2026 08:43,XAUUSD,Sell,4594.69000,4595.11000,0.0000,0.0000,-42.0,-15.45,-0.08,00:00:07:25,,,,,,,,,,,,
05/04/2026 08:23,05/04/2026 08:32,XAUUSD,Buy,4611.36000,4596.29000,0.0000,0.0000,-1507.0,-554.62,-2.79,00:00:08:32,,,,,,,,,,,,
05/04/2026 08:23,05/04/2026 08:32,XAUUSD,Buy,4612.25000,4596.29000,0.0000,0.0000,-1596.0,-587.37,-2.87,00:00:08:53,,,,,,,,,,,,
05/04/2026 08:23,05/04/2026 08:32,XAUUSD,Buy,4612.58000,4596.29000,0.0000,0.0000,-1629.0,-599.51,-2.84,00:00:08:54,,,,,,,,,,,,
05/04/2026 08:23,05/04/2026 08:32,XAUUSD,Buy,4611.69000,4596.29000,0.0000,0.0000,-1540.0,-566.76,-2.62,00:00:08:55,,,,,,,,,,,,
05/02/2026 22:58,,,Deposit,0.00000,0.00000,0.0000,0.0000,0.0,1.29,0,00:00:00:00,,,,,,,,,,,,
05/01/2026 16:35,05/01/2026 16:37,XAUUSD,Buy,4598.87000,4604.85000,0.0000,0.0000,598.0,219.40,1.02,00:00:02:54,,,,,,,,,,,,
05/01/2026 16:34,05/01/2026 16:37,XAUUSD,Buy,4598.85000,4604.85000,0.0000,0.0000,600.0,220.14,1.04,00:00:03:21,,,,,,,,,,,,
05/01/2026 16:34,05/01/2026 16:37,XAUUSD,Buy,4599.06000,4604.85000,0.0000,0.0000,579.0,212.43,1.01,00:00:03:25,,,,,,,,,,,,
05/01/2026 16:34,05/01/2026 16:37,XAUUSD,Buy,4599.59000,4604.85000,0.0000,0.0000,526.0,192.99,0.93,00:00:03:27,,,,,,,,,,,,
05/01/2026 16:34,05/01/2026 16:37,XAUUSD,Buy,4599.85000,4604.85000,0.0000,0.0000,500.0,183.45,0.89,00:00:03:28,,,,,,,,,,,,
05/01/2026 16:34,05/01/2026 16:37,XAUUSD,Buy,4599.90000,4604.85000,0.0000,0.0000,495.0,181.61,0.89,00:00:03:29,,,,,,,,,,,,
05/01/2026 12:42,05/01/2026 12:54,XAUUSD,Sell,4572.10000,4566.76000,0.0000,0.0000,534.0,196.36,0.97,00:00:11:13,8.4,56s,2240.0,4.20,534.0,197.57999999999998,-2240.0,-828.8,19.3,100.0,0.00,0.00
05/01/2026 12:42,05/01/2026 12:54,XAUUSD,Sell,4572.13000,4566.76000,0.0000,0.0000,537.0,197.46,0.99,00:00:11:16,8.4,56s,2237.0,4.17,537.0,198.69,-2237.0,-827.6899999999999,19.4,100.0,0.00,0.00
05/01/2026 12:35,05/01/2026 12:54,XAUUSD,Sell,4570.90000,4566.76000,0.0000,0.0000,414.0,152.23,0.77,00:00:18:55,5.3,1m,2742.0,6.63,414.0,153.18,-2742.0,-1014.54,13.1,100.0,0.00,0.00
05/01/2026 12:35,05/01/2026 12:54,XAUUSD,Sell,4571.29000,4566.76000,0.0000,0.0000,453.0,166.57,0.84,00:00:19:00,5.3,1m,2703.0,5.97,453.0,167.60999999999999,-2703.0,-1000.11,14.4,100.0,0.00,0.00
05/01/2026 12:35,05/01/2026 12:54,XAUUSD,Sell,4571.28000,4566.76000,0.0000,0.0000,452.0,166.20,0.85,00:00:19:00,5.3,1m,2704.0,5.98,452.0,167.24,-2704.0,-1000.48,14.3,100.0,0.00,0.00
05/01/2026 12:35,05/01/2026 12:54,XAUUSD,Sell,4571.28000,4566.76000,0.0000,0.0000,452.0,166.20,0.86,00:00:19:04,5.3,1m,2704.0,5.98,452.0,167.24,-2704.0,-1000.48,14.3,100.0,0.00,0.00
05/01/2026 12:35,05/01/2026 12:49,XAUUSD,Sell,4570.90000,4570.92000,0.0000,0.0000,-2.0,-0.74,0.00,00:00:14:00,0.0,0s,2742.0,3333.33,0.0,0.0,-2742.0,-1014.54,0.0,99.9,-2.00,-0.74
04/30/2026 19:11,04/30/2026 19:16,XAUUSD,Sell,4614.90000,4609.42000,0.0000,0.0000,548.0,201.79,1.05,00:00:04:51,20.0,58s,1056.0,1.93,548.0,202.76,-1056.0,-390.71999999999997,34.2,100.0,0.00,0.00
04/30/2026 19:11,04/30/2026 19:16,XAUUSD,Sell,4614.86000,4609.42000,0.0000,0.0000,544.0,200.31,1.05,00:00:04:51,20.0,58s,1060.0,1.95,544.0,201.28,-1060.0,-392.2,33.9,100.0,0.00,0.00
04/30/2026 19:10,04/30/2026 19:16,XAUUSD,Sell,4614.93000,4609.42000,0.0000,0.0000,551.0,202.89,1.08,00:00:05:34,16.7,55s,1053.0,1.91,551.0,203.87,-1053.0,-389.61,34.4,100.0,0.00,0.00
04/30/2026 19:10,04/30/2026 19:16,XAUUSD,Sell,4615.11000,4609.42000,0.0000,0.0000,569.0,209.52,1.13,00:00:05:36,16.7,56s,1035.0,1.82,569.0,210.53,-1035.0,-382.95,35.5,100.0,0.00,0.00
04/30/2026 19:09,04/30/2026 19:16,XAUUSD,Sell,4613.85000,4609.42000,0.0000,0.0000,443.0,163.12,0.89,00:00:06:04,14.3,52s,1161.0,2.62,443.0,163.91,-1161.0,-429.57,27.6,100.0,0.00,0.00
04/30/2026 19:09,04/30/2026 19:16,XAUUSD,Sell,4613.85000,4609.42000,0.0000,0.0000,443.0,163.12,0.89,00:00:06:04,14.3,52s,1161.0,2.62,443.0,163.91,-1161.0,-429.57,27.6,100.0,0.00,0.00
04/30/2026 19:09,04/30/2026 19:16,XAUUSD,Sell,4613.87000,4609.42000,0.0000,0.0000,445.0,163.86,0.91,00:00:06:04,14.3,52s,1159.0,2.60,445.0,164.65,-1159.0,-428.83,27.7,100.0,0.00,0.00
04/30/2026 19:09,04/30/2026 19:16,XAUUSD,Sell,4613.96000,4609.42000,0.0000,0.0000,454.0,167.17,0.93,00:00:06:19,14.3,54s,1150.0,2.53,454.0,167.98,-1150.0,-425.5,28.3,100.0,0.00,0.00
04/30/2026 19:09,04/30/2026 19:16,XAUUSD,Sell,4614.04000,4609.42000,0.0000,0.0000,462.0,170.12,0.96,00:00:06:20,14.3,54s,1142.0,2.47,462.0,170.94,-1142.0,-422.54,28.8,100.0,0.00,0.00
04/30/2026 19:09,04/30/2026 19:16,XAUUSD,Sell,4614.03000,4609.42000,0.0000,0.0000,461.0,169.75,0.97,00:00:06:21,14.3,54s,1143.0,2.48,461.0,170.57,-1143.0,-422.90999999999997,28.7,100.0,0.00,0.00
04/30/2026 19:09,04/30/2026 19:16,XAUUSD,Sell,4614.00000,4609.42000,0.0000,0.0000,458.0,168.65,0.97,00:00:06:21,14.3,54s,1146.0,2.50,458.0,169.46,-1146.0,-424.02,28.6,100.0,0.00,0.00
04/30/2026 19:09,04/30/2026 19:16,XAUUSD,Sell,4614.07000,4609.42000,0.0000,0.0000,465.0,171.22,0.99,00:00:06:22,14.3,54s,1139.0,2.45,465.0,172.05,-1139.0,-421.43,29.0,100.0,0.00,0.00
04/30/2026 18:41,04/30/2026 19:05,XAUUSD,Sell,4616.61000,4615.51000,0.0000,0.0000,110.0,40.48,0.24,00:00:23:33,4.2,59s,828.0,7.53,110.0,40.7,-828.0,-306.36,11.7,100.0,0.00,0.00
