Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/14/2025 08:15,05/14/2025 13:07,NZDCAD,Sell,0.010,0.82907,0.82793,-0.0900,0.0000,11.4,0.72,0.06,00:04:52:31,100.0,4h 52m,0.0,0.09,11.4,0.7980000000000002,0.0,0.0,100.0,100.0,0.00,0.00
05/12/2025 16:15,05/13/2025 03:15,AUDCAD,Buy,0.010,0.89108,0.89222,-0.0900,0.0000,11.4,0.73,0.06,00:11:00:08,36.4,4h 0m,12.6,0.51,23.9,1.673,-12.3,-0.8610000000000001,66.0,65.5,-12.50,-0.88
05/09/2025 16:00,05/12/2025 07:29,NZDCAD,Sell,0.010,0.82419,0.82305,-0.0900,0.0000,11.4,0.72,0.06,02:15:29:09,85.8,2d 6h ,22.9,0.73,24.9,1.743,-18.1,-1.2670000000000001,57.9,68.6,-13.50,-0.94
05/12/2025 07:15,05/12/2025 07:23,AUDCAD,Sell,0.010,0.89785,0.89671,-0.0900,0.0000,11.4,0.73,0.06,00:00:08:48,,,,,,,,,,,,
05/09/2025 14:30,05/09/2025 14:53,NZDCAD,Sell,0.010,0.82401,0.82287,-0.0900,0.0000,11.4,0.73,0.06,00:00:23:32,,,,,,,,,,,,
05/09/2025 14:30,05/09/2025 14:51,AUDCAD,Sell,0.010,0.89520,0.89406,-0.0900,0.0000,11.4,0.73,0.06,00:00:21:19,,,,,,,,,,,,
05/09/2025 01:30,05/09/2025 07:44,NZDCAD,Buy,0.010,0.82024,0.82138,-0.0900,0.0000,11.4,0.72,0.06,00:06:14:27,100.0,6h 14m,3.1,0.09,11.4,0.7980000000000002,0.0,0.0,100.0,100.0,0.00,0.00
05/08/2025 08:15,05/08/2025 12:42,NZDCAD,Buy,0.010,0.82113,0.82353,-0.0900,0.0000,24.0,1.64,0.14,00:04:27:18,100.0,4h 27m,0.0,0.04,24.0,1.6800000000000002,0.0,0.0,100.0,100.0,0.00,0.00
05/07/2025 13:30,05/08/2025 12:42,NZDCAD,Buy,0.010,0.82466,0.82353,-0.0900,0.0000,-11.3,-0.90,-0.08,00:23:12:17,8.7,2h 1m,44.7,8.51,4.7,0.32900000000000007,-40.0,-2.8000000000000003,10.5,64.2,-16.00,-1.12
05/08/2025 03:15,05/08/2025 05:10,AUDCAD,Sell,0.010,0.89286,0.89173,-0.0900,0.0000,11.3,0.73,0.06,00:01:55:32,,,,,,,,,,,,
05/07/2025 13:30,05/08/2025 01:51,AUDCAD,Buy,0.010,0.89158,0.89271,-0.0900,0.0000,11.3,0.73,0.06,00:12:21:54,16.7,2h 3m,26.1,2.31,11.3,0.7910000000000001,-26.1,-1.8270000000000002,30.2,100.0,0.00,0.00
05/07/2025 01:15,05/07/2025 01:21,NZDCAD,Sell,0.010,0.82920,0.82807,-0.0900,0.0000,11.3,0.73,0.06,00:00:06:28,,,,,,,,,,,,
05/06/2025 22:30,05/06/2025 22:33,AUDCAD,Sell,0.010,0.89710,0.89597,-0.0900,0.0000,11.3,0.73,0.06,00:00:03:39,,,,,,,,,,,,
05/06/2025 06:30,05/06/2025 06:42,AUDCAD,Buy,0.010,0.89114,0.89227,-0.0900,0.0000,11.3,0.72,0.06,00:00:12:15,,,,,,,,,,,,
05/06/2025 04:45,05/06/2025 05:55,NZDCAD,Sell,0.010,0.82645,0.82532,-0.0900,0.0000,11.3,0.73,0.06,00:01:10:04,,,,,,,,,,,,
05/06/2025 00:45,05/06/2025 02:05,NZDCAD,Buy,0.010,0.82279,0.82392,-0.0900,0.0000,11.3,0.73,0.06,00:01:20:36,,,,,,,,,,,,
05/05/2025 01:30,05/05/2025 16:57,NZDCAD,Sell,0.010,0.82491,0.82378,-0.0900,0.0000,11.3,0.73,0.06,00:15:27:39,53.4,8h 15m,36.7,2.13,12.0,0.8400000000000001,-25.6,-1.7920000000000003,31.9,98.1,-0.70,-0.05
