Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
04/13/2026 07:57,04/13/2026 08:00,GOLDI,Sell,0.010,4727.17000,4725.96000,0.0000,0.0000,121.0,1.21,0.23,"[tp]",00:00:03:03,,,,,,,,,,,,
04/10/2026 15:02,04/10/2026 15:06,GOLDI,Buy,0.010,4772.55000,4773.76000,0.0000,0.0000,121.0,1.21,0.23,"[tp]",00:00:04:05,,,,,,,,,,,,
04/09/2026 08:36,04/09/2026 08:39,GOLDI,Buy,0.010,4714.10000,4715.10000,0.0000,0.0000,100.0,1.00,0.19,"[tp]",00:00:02:56,,,,,,,,,,,,
04/08/2026 03:04,04/08/2026 03:04,GOLDI,Sell,0.010,4809.47000,4808.47000,0.0000,0.0000,100.0,1.00,0.19,"[tp]",00:00:00:38,,,,,,,,,,,,
04/07/2026 07:45,04/07/2026 07:45,GOLDI,Buy,0.010,4631.68000,4632.68000,0.0000,0.0000,100.0,1.00,0.19,"[tp]",00:00:00:17,,,,,,,,,,,,
04/06/2026 10:51,04/06/2026 10:52,GOLDI,Sell,0.010,4694.08000,4692.55000,0.0000,0.0000,153.0,1.53,0.29,"[tp]",00:00:00:58,,,,,,,,,,,,
04/02/2026 20:06,04/02/2026 20:06,GOLDI,Buy,0.010,4654.93000,4656.37000,0.0000,0.0000,144.0,1.44,0.27,"",00:00:00:08,,,,,,,,,,,,
04/02/2026 08:28,04/02/2026 08:29,GOLDI,Buy,0.010,4587.68000,4590.54000,0.0000,0.0000,286.0,2.86,0.54,"",00:00:01:00,,,,,,,,,,,,
04/01/2026 01:58,04/01/2026 01:59,GOLDI,Sell,0.010,4697.96000,4696.96000,0.0000,0.0000,100.0,1.00,0.19,"[tp]",00:00:01:37,,,,,,,,,,,,
03/31/2026 10:05,03/31/2026 10:09,GOLDI,Sell,0.010,4568.55000,4567.55000,0.0000,0.0000,100.0,1.00,0.19,"[tp]",00:00:04:02,,,,,,,,,,,,
03/30/2026 09:27,03/30/2026 09:55,GOLDI,Buy,0.010,4525.60000,4526.60000,0.0000,0.0000,100.0,1.00,0.19,"[tp]",00:00:27:28,,,,,,,,,,,,
03/27/2026 08:36,03/27/2026 08:36,GOLDI,Buy,0.010,4452.05000,4455.41000,0.0000,0.0000,336.0,3.36,0.65,"[tp]",00:00:00:34,,,,,,,,,,,,
03/26/2026 03:39,03/26/2026 03:40,GOLDI,Buy,0.010,4515.23000,4516.23000,0.0000,0.0000,100.0,1.00,0.19,"[tp]",00:00:01:26,,,,,,,,,,,,
03/25/2026 09:20,03/25/2026 09:21,GOLDI,Sell,0.010,4565.64000,4564.64000,0.0000,0.0000,100.0,1.00,0.19,"[tp]",00:00:00:58,,,,,,,,,,,,
03/24/2026 08:55,03/24/2026 08:55,GOLDI,Buy,0.010,4422.09000,4423.30000,0.0000,0.0000,121.0,1.21,0.23,"[tp]",00:00:00:46,,,,,,,,,,,,
03/23/2026 03:12,03/23/2026 03:13,GOLDI,Buy,0.010,4398.72000,4400.25000,0.0000,0.0000,153.0,1.53,0.30,"[tp]",00:00:00:39,,,,,,,,,,,,
03/20/2026 04:58,03/20/2026 05:00,GOLDI,Buy,0.010,4725.82000,4726.82000,0.0000,0.0000,100.0,1.00,0.19,"[tp]",00:00:01:46,,,,,,,,,,,,
03/19/2026 06:46,03/19/2026 06:47,GOLDI,Buy,0.010,4832.72000,4833.93000,0.0000,0.0000,121.0,1.21,0.24,"[tp]",00:00:00:46,,,,,,,,,,,,
03/18/2026 06:54,03/18/2026 06:55,GOLDI,Sell,0.010,5000.94000,4999.94000,0.0000,0.0000,100.0,1.00,0.20,"[tp]",00:00:00:59,,,,,,,,,,,,
03/17/2026 05:45,03/17/2026 05:46,GOLDI,Sell,0.010,5040.25000,5039.04000,0.0000,0.0000,121.0,1.21,0.24,"[tp]",00:00:01:10,,,,,,,,,,,,
03/16/2026 06:00,03/16/2026 06:02,GOLDI,Buy,0.010,5014.51000,5015.51000,0.0000,0.0000,100.0,1.00,0.20,"[tp]",00:00:02:35,,,,,,,,,,,,
03/13/2026 04:36,03/13/2026 04:40,GOLDI,Buy,0.010,5108.66000,5109.66000,0.0000,0.0000,100.0,1.00,0.20,"[tp]",00:00:04:10,,,,,,,,,,,,
03/12/2026 08:19,03/12/2026 08:23,GOLDI,Buy,0.010,5167.20000,5168.20000,0.0000,0.0000,100.0,1.00,0.20,"[tp]",00:00:04:24,,,,,,,,,,,,
03/11/2026 13:00,03/11/2026 13:00,GOLDI,Sell,0.010,5180.49000,5179.49000,0.0000,0.0000,100.0,1.00,0.20,"[tp]",00:00:00:21,,,,,,,,,,,,
03/10/2026 05:04,03/10/2026 05:07,GOLDI,Buy,0.010,5156.00000,5157.00000,0.0000,0.0000,100.0,1.00,0.20,"[tp]",00:00:03:09,,,,,,,,,,,,
03/09/2026 08:06,03/09/2026 08:06,GOLDI,Buy,0.010,5094.05000,5095.05000,0.0000,0.0000,100.0,1.00,0.20,"[tp]",00:00:00:54,,,,,,,,,,,,
03/06/2026 09:37,03/06/2026 09:39,GOLDI,Buy,0.010,5106.13000,5107.34000,0.0000,0.0000,121.0,1.21,0.24,"[tp]",00:00:02:01,,,,,,,,,,,,
03/05/2026 04:38,03/05/2026 04:40,GOLDI,Buy,0.010,5187.30000,5188.30000,0.0000,0.0000,100.0,1.00,0.20,"[tp]",00:00:01:33,,,,,,,,,,,,
03/04/2026 05:51,03/04/2026 05:52,GOLDI,Buy,0.010,5157.04000,5158.25000,0.0000,0.0000,121.0,1.21,0.24,"[tp]",00:00:00:37,,,,,,,,,,,,
03/03/2026 20:19,03/03/2026 20:25,GOLDI,Sell,0.010,5112.51000,5110.98000,0.0000,0.0000,153.0,1.53,0.31,"[tp]",00:00:05:51,,,,,,,,,,,,
03/03/2026 18:53,,,Deposit,0.000,0.00000,0.00000,0.0000,0.0000,0.0,500.00,0,"T:2038417:2:7007153",00:00:00:00,,,,,,,,,,,,

